milis,posisi_target,posisi_bola
50461,16,16
50498,16,16
50535,16,16
50573,16,16
50610,16,16
50647,16,16
50683,16,16
50721,16,16
50758,16,16
50795,16,16
50833,16,16
50870,16,16
50907,16,16
50944,16,16
50981,16,16
51018,16,16
51055,16,16
51092,16,16
51130,16,16
51167,16,16
51204,16,16
51241,16,16
51278,16,16
51315,16,16
51352,16,16
51390,16,16
51427,16,16
51464,16,16
51501,16,16
51538,16,16
51575,16,16
51612,16,16
51650,16,16
51687,16,16
51724,16,16
51761,16,16
51799,16,16
51835,16,16
51872,16,16
51909,16,16
51947,16,16
51984,16,16
52021,16,16
52059,16,16
52096,16,16
52132,16,16
52169,16,16
52207,16,16
52244,16,16
52281,16,16
52318,16,16
52356,16,16
52392,16,16
52429,16,16
52467,16,16
52504,16,16
52541,16,16
52578,16,16
52616,16,16
52653,16,16
52689,16,16
52726,16,16
52764,16,16
52801,16,16
52838,16,16
52876,16,16
52913,16,16
52950,16,16
52986,16,16
53024,16,16
53061,16,16
53098,16,16
53135,16,16
53173,16,16
53210,16,16
53246,16,16
53284,16,16
53321,16,16
53358,16,16
53395,16,16
53433,16,16
53470,16,16
53507,16,16
53543,16,16
53581,16,16
53618,16,16
53655,16,16
53693,16,16
53730,16,16
53767,16,16
53804,16,16
53841,16,16
53878,16,16
53915,16,16
53952,16,16
53990,16,16
54027,16,16
54064,16,16
54102,16,16
54138,16,16
54175,16,16
54212,16,16
54250,16,16
54287,16,16
54324,16,16
54361,16,16
54398,16,16
54435,16,16
54472,16,16
54509,16,15
54547,16,14
54584,16,13
54621,16,11
54658,16,11
54694,16,9
54731,16,8
54767,16,7
54804,16,6
54841,16,5
54877,16,4
54914,16,4
54949,16,3
54986,16,3
55022,16,2
55059,16,2
55095,16,1
55132,16,1
55168,16,1
55204,16,2
55240,16,3
55277,16,2
55313,16,3
55350,16,3
55386,16,2
55422,16,2
55458,16,2
55495,16,2
55531,16,2
55568,16,3
55604,16,2
55641,16,3
55676,16,2
55713,16,3
55749,16,2
55786,16,3
55822,16,3
55859,16,3
55896,16,3
55931,16,3
55968,16,3
56004,16,3
56041,16,3
56077,16,3
56114,16,3
56150,16,3
56186,16,3
56222,16,3
56259,16,3
56295,16,3
56332,16,3
56368,16,3
56404,16,3
56440,16,3
56477,16,3
56514,16,3
56550,16,3
56587,16,3
56623,16,3
56659,16,2
56695,16,2
56732,16,2
56768,16,3
56805,16,2
56841,16,2
56878,16,2
56913,16,2
56950,16,2
56986,16,2
57023,16,2
57059,16,2
57096,16,2
57132,16,2
57168,16,2
57204,16,2
57241,16,2
57277,16,2
57314,16,2
57350,16,2
57387,16,2
57422,16,2
57459,16,2
57495,16,2
57532,16,2
57568,16,2
57605,16,2
57640,16,4
57677,16,4
57713,16,4
57750,16,4
57787,16,4
57823,16,4
57860,16,4
57895,16,2
57932,16,2
57968,16,1
58005,16,2
