milis,posisi_target,posisi_bola
59520,16,17
59557,16,17
59597,16,17
59637,16,17
59677,16,17
59717,16,17
59757,16,17
59797,16,17
59837,16,17
59877,16,17
59917,16,17
59958,16,17
59996,16,16
60033,16,16
60069,16,16
60107,16,16
60144,16,17
60181,16,16
60219,16,16
60256,16,16
60293,16,16
60329,16,17
60367,16,17
60404,16,16
60441,16,17
60479,16,17
60516,16,17
60554,16,18
60591,16,17
60627,16,18
60665,16,17
60702,16,18
60740,16,19
60777,16,19
60815,16,19
60852,16,20
60890,16,19
60926,16,19
60964,16,20
61001,16,20
61039,16,20
61076,16,20
61114,16,20
61151,16,20
61189,16,20
61225,16,20
61263,16,20
61300,16,20
61338,16,20
61375,16,20
61413,16,20
61450,16,20
61488,16,20
61524,16,20
61562,16,20
61599,16,20
61637,16,20
61674,16,20
61711,16,20
61749,16,20
61786,16,20
61824,16,20
61860,16,20
61898,16,20
61935,16,20
61973,16,20
62010,16,20
62048,16,20
62085,16,20
62123,16,20
62159,16,20
62197,16,20
62234,16,20
62272,16,20
62309,16,20
62347,16,20
62384,16,20
62422,16,20
62458,16,20
62496,16,20
62533,16,20
62571,16,20
62608,16,20
62646,16,19
62683,16,17
62720,16,17
62757,16,15
62794,16,15
62831,16,13
62868,16,11
62905,16,10
62942,16,8
62979,16,7
63015,16,5
63051,16,4
63088,16,3
63124,16,2
63161,16,2
63197,16,1
63234,16,2
63269,16,3
63306,16,2
63342,16,2
63379,16,3
63415,16,3
63452,16,3
63488,16,3
63524,16,3
63560,16,3
63597,16,3
63633,16,3
63670,16,3
63706,16,3
63742,16,3
63778,16,3
63815,16,3
63852,16,3
63888,16,3
63925,16,3
63961,16,3
63997,16,3
64033,16,3
64070,16,3
64106,16,2
64143,16,2
64179,16,2
64216,16,2
64251,16,2
64288,16,2
64324,16,2
64361,16,2
64397,16,2
64434,16,1
64470,16,2
64506,16,2
64542,16,2
64579,16,2
64615,16,3
64652,16,3
64688,16,5
64724,16,7
64761,16,8
64798,16,11
64835,16,13
64872,16,15
64910,16,16
64947,16,16
64985,16,19
65021,16,21
65059,16,23
65097,16,24
65135,16,24
65175,16,24
65215,16,24
65255,16,24
65295,16,24
65335,16,24
65375,16,24
65415,16,24
65455,16,24
65495,16,24
65534,16,24
65574,16,24
65614,16,24
65654,16,24
65692,16,14
65729,16,14
65766,16,11
65803,16,9
65840,16,9
65875,16,6
65912,16,5
65949,16,5
65985,16,4
66022,16,5
66059,16,4
66095,16,5
66131,16,5
66168,16,6
66204,16,7
66241,16,7
66278,16,9
66315,16,10
66352,16,11
66388,16,13
66426,16,16
66463,16,16
66500,16,16
66537,16,17
66575,16,19
66612,16,19
66650,16,20
66688,16,21
66724,16,23
66762,16,23
66800,16,23
66837,16,24
66875,16,24
66913,16,24
66951,16,23
66988,16,23
67025,16,23
67063,16,23
67100,16,23
67138,16,22
67176,16,21
67213,16,21
67251,16,20
67288,16,19
67325,16,18
67362,16,17
67399,16,17
67437,16,17
67474,16,17
67511,16,16
67549,16,17
67586,16,16
67622,16,16
67660,16,16
67697,16,16
67734,16,16
67771,16,16
67809,16,16
67846,16,16
67883,16,16
67920,16,16
67957,16,16
67994,16,16
68031,16,16
68069,16,16
68106,16,16
68143,16,16
68180,16,16
68217,16,16
68254,16,16
68291,16,16
68329,16,16
68366,16,16
68403,16,16
68440,16,16
68477,16,16
68514,16,16
68551,16,16
68589,16,16
68626,16,16
68663,16,16
68700,16,16
68738,16,16
68774,16,16
68811,16,16
68849,16,16
68886,16,16
68923,16,16
68960,16,16
68998,16,16
69035,16,16
69071,16,16
69109,16,16
69146,16,16
69183,16,16
69220,16,16
69258,16,16
69295,16,16
69331,16,16
69369,16,16
69406,16,16
69443,16,16
69480,16,16
69518,16,16
69555,16,16
69592,16,16
69629,16,16
69666,16,16
69703,16,16
69740,16,16
69778,16,16
69815,16,16
69852,16,16
69889,16,16
69926,16,16
69963,16,16
70000,16,16
70038,16,16
70075,16,16
70112,16,16
70149,16,16
70187,16,16
70223,16,16
70260,16,16
70298,16,16
70335,16,16
70372,16,16
70409,16,17
70447,16,16
70483,16,16
70520,16,17
70558,16,17
70595,16,17
70632,16,17
70670,16,18
70707,16,17
70745,16,18
70781,16,18
70818,16,18
70856,16,17
70893,16,18
70931,16,18
70968,16,19
71006,16,18
71043,16,19
71079,16,19
71117,16,19
71154,16,18
71192,16,18
71229,16,18
71267,16,18
71304,16,18
71341,16,18
71378,16,18
71415,16,18
71453,16,18
71490,16,18
71528,16,18
71565,16,18
71602,16,18
71640,16,18
71676,16,18
