milis,posisi_target,posisi_bola
14333,16,16
14444,16,16
14556,16,16
14666,16,16
14777,16,16
14888,16,16
14999,16,16
15110,16,16
15221,16,16
15332,16,16
15442,16,16
15553,16,16
15665,16,16
15775,16,16
15886,16,16
15997,16,16
16108,16,16
16219,16,16
16329,16,16
16441,16,16
16551,16,16
16662,16,16
16774,16,16
16884,16,16
16995,16,16
17106,16,17
17217,16,13
17327,16,9
17436,16,4
17545,16,1
17653,16,2
17762,16,1
17870,16,3
17980,16,5
18089,16,11
18200,16,15
18312,16,18
18423,16,22
18536,16,24
18648,16,22
18760,16,22
18872,16,21
18983,16,20
19095,16,18
19207,16,18
19318,16,17
19429,16,18
19540,16,18
19652,16,18
19764,16,18
19875,16,18
19986,16,18
20098,16,18
20209,16,18
20321,16,18
20431,16,18
20543,16,18
20655,16,18
20766,16,18
20878,16,18
20988,16,18
21100,16,18
21212,16,17
21323,16,18
21434,16,17
21545,16,17
21657,16,17
21768,16,17
21879,16,17
21991,16,17
22102,16,17
22213,16,17
22325,16,17
22435,16,17
22547,16,17
22658,16,17
22769,16,17
22881,16,17
22991,16,17
23103,16,17
23215,16,17
23325,16,17
23437,16,17
23547,16,17
23659,16,17
23771,16,17
23881,16,17
23993,16,17
24104,16,17
24215,16,17
24327,16,17
24437,16,17
24549,16,17
24660,16,17
24771,16,17
24883,16,17
24994,16,17
25105,16,17
25217,16,17
25327,16,17
25439,16,17
25550,16,17
25661,16,17
25773,16,17
25884,16,17
25995,16,17
26106,16,17
26217,16,17
26329,16,17
26440,16,17
26551,16,17
26662,16,17
26774,16,17
26885,16,16
26996,16,16
27107,16,15
27217,16,13
27327,16,8
27437,16,5
27545,16,3
27655,16,4
27763,16,4
27873,16,6
27982,16,8
28092,16,12
28203,16,14
28314,16,16
28425,16,16
28535,16,16
28647,16,17
28759,16,18
28869,16,17
28981,16,18
29092,16,17
29203,16,17
29315,16,17
29425,16,17
29537,16,17
29647,16,17
29759,16,17
29870,16,17
29981,16,17
30092,16,17
30203,16,17
30314,16,17
30426,16,17
30537,16,17
30648,16,17
30759,16,17
30870,16,17
30982,16,17
31092,16,17
31204,16,17
31314,16,17
31426,16,17
31537,16,17
31648,16,17
31759,16,17
31870,16,17
31981,16,17
32093,16,17
32203,16,17
32315,16,17
32427,16,17
32537,16,17
32649,16,17
32759,16,17
32871,16,17
32982,16,17
33093,16,17
33204,16,17
33315,16,17
33426,16,17
33538,16,17
33648,16,17
33760,16,17
33870,16,17
33982,16,17
34093,16,17
34204,16,17
34315,16,17
34426,16,17
34537,16,17
34649,16,17
34759,16,17
34871,16,17
34982,16,17
35093,16,17
35205,16,17
35315,16,17
35427,16,17
35537,16,17
35649,16,17
35760,16,17
35871,16,17
35982,16,17
36093,16,16
36204,16,16
36315,16,15
36425,16,13
36536,16,11
36645,16,7
36755,16,5
36865,16,4
36973,16,5
37083,16,7
37192,16,8
37303,16,11
37412,16,13
37524,16,15
37635,16,16
37746,16,17
37857,16,17
37968,16,17
38079,16,17
38191,16,17
38302,16,17
38413,16,17
38524,16,17
38635,16,17
38747,16,17
38857,16,17
38969,16,17
39080,16,17
39191,16,17
39303,16,17
39413,16,17
39525,16,17
39636,16,17
39747,16,17
39859,16,17
39969,16,17
40081,16,17
40192,16,17
40303,16,17
40415,16,17
40525,16,17
40637,16,17
40748,16,17
40859,16,17
40970,16,17
41081,16,17
41193,16,17
41304,16,17
41415,16,17
41526,16,17
41637,16,17
41748,16,17
41860,16,17
41971,16,17
42082,16,17
42193,16,17
42304,16,17
42416,16,17
42527,16,17
42638,16,17
42749,16,17
42860,16,17
42972,16,17
43082,16,17
43194,16,17
43305,16,17
43416,16,16
43527,16,16
43638,16,15
43749,16,15
43859,16,14
43970,16,12
44081,16,11
44190,16,11
44301,16,11
44410,16,11
44521,16,11
44632,16,14
44742,16,14
44853,16,15
44964,16,15
45075,16,15
45186,16,15
45296,16,15
45408,16,15
45518,16,15
45629,16,15
45740,16,15
45851,16,15
45962,16,15
46072,16,15
46184,16,15
46295,16,15
46405,16,15
46516,16,15
46627,16,15
46738,16,15
46849,16,15
46959,16,15
47071,16,15
47181,16,15
47292,16,15
47403,16,15
47513,16,15
47625,16,15
47735,16,15
47846,16,15
47956,16,15
48067,16,15
48179,16,15
48289,16,15
48400,16,15
48510,16,15
48621,16,15
48733,16,15
48843,16,15
48954,16,15
49064,16,15
49175,16,15
49286,16,15
49397,16,15
49508,16,15
49618,16,15
49729,16,15
49840,16,15
49951,16,15
50062,16,15
50172,16,15
50283,16,15
50394,16,15
50505,16,15
50616,16,15
50726,16,15
50837,16,15
50948,16,15
51058,16,15
51170,16,14
51280,16,16
51391,16,16
51503,16,17
51613,16,18
51725,16,20
51837,16,23
51950,16,24
52062,16,23
52174,16,22
52286,16,21
52398,16,19
52509,16,17
52621,16,18
52731,16,17
52843,16,18
52955,16,17
53066,16,17
53177,16,17
53288,16,17
53399,16,17
53511,16,17
53622,16,17
53733,16,17
53844,16,17
53956,16,17
54067,16,17
54178,16,17
54290,16,17
54401,16,17
54512,16,17
54623,16,17
54734,16,17
54846,16,17
54957,16,17
55068,16,17
55180,16,17
55290,16,17
55402,16,17
55513,16,17
55624,16,17
55736,16,17
55846,16,17
55958,16,17
56070,16,17
56180,16,17
56292,16,17
56402,16,17
56514,16,17
56626,16,17
56736,16,17
56848,16,17
56960,16,17
57070,16,17
57182,16,17
57293,16,17
57404,16,17
57516,16,17
57627,16,18
57738,16,18
57849,16,17
57961,16,16
58072,16,16
58182,16,15
58293,16,13
58403,16,12
58513,16,9
58624,16,10
58733,16,10
58844,16,10
58953,16,10
59064,16,11
59173,16,13
59285,16,16
59396,16,15
59506,16,16
59618,16,16
59728,16,16
59839,16,16
59950,16,16
60061,16,16
60172,16,16
60282,16,16
60393,16,16
60505,16,16
60615,16,16
60726,16,16
60836,16,16
60948,16,16
61059,16,16
61169,16,16
61280,16,16
61391,16,16
61502,16,16
61613,16,16
61723,16,16
61835,16,16
61945,16,16
62056,16,16
62167,16,16
62278,16,16
62389,16,16
62499,16,16
62610,16,16
62722,16,16
62832,16,16
62943,16,16
63053,16,16
63164,16,16
63276,16,16
63386,16,16
63497,16,16
63607,16,16
63718,16,12
63828,16,6
63937,16,2
64046,16,1
64154,16,1
64263,16,2
64371,16,3
64481,16,9
64591,16,15
64703,16,20
64816,16,24
64928,16,22
65040,16,21
65152,16,21
65263,16,21
65376,16,22
65487,16,23
65600,16,23
65712,16,23
65824,16,22
65936,16,22
66048,16,21
66160,16,21
66272,16,21
66383,16,21
66495,16,21
66607,16,21
66718,16,21
66831,16,21
66942,16,21
67054,16,21
67166,16,20
67277,16,21
67389,16,21
67502,16,21
67613,16,21
67725,16,21
67836,16,21
67948,16,21
68061,16,21
68172,16,21
68284,16,20
68396,16,18
68506,16,16
68618,16,16
68728,16,12
68838,16,7
68947,16,5
69056,16,2
69165,16,3
69273,16,3
69383,16,6
69492,16,9
69603,16,12
69713,16,15
69824,16,16
69936,16,17
70047,16,19
70159,16,19
70269,16,19
70381,16,19
70493,16,18
70604,16,18
70716,16,18
70827,16,18
70938,16,18
71050,16,18
71161,16,18
71272,16,18
71384,16,18
71495,16,18
71607,16,18
71718,16,18
71829,16,18
71941,16,18
72052,16,18
72164,16,18
72274,16,18
72386,16,17
72498,16,17
72608,16,17
72720,16,16
72830,16,16
72942,16,16
73053,16,15
73163,16,14
73274,16,13
73384,16,11
73494,16,10
73604,16,9
73714,16,9
73824,16,10
73934,16,11
74045,16,12
74156,16,13
74266,16,14
74377,16,14
74487,16,14
74598,16,14
74708,16,14
74819,16,14
74930,16,14
75041,16,14
75152,16,14
75262,16,14
75373,16,14
75484,16,14
75594,16,14
75705,16,14
75815,16,14
75926,16,14
76037,16,14
76147,16,14
76258,16,14
76368,16,14
76479,16,14
76590,16,14
76700,16,14
76811,16,14
76921,16,14
77032,16,14
77143,16,14
77253,16,14
77364,16,13
77474,16,15
77585,16,14
77697,16,15
77807,16,16
77919,16,18
78029,16,19
78142,16,21
78254,16,23
78366,16,23
78478,16,23
78590,16,23
78702,16,22
78814,16,21
78926,16,19
79037,16,18
79149,16,18
79260,16,16
79371,16,16
79482,16,16
79593,16,17
79704,16,17
79815,16,17
79926,16,17
80037,16,17
80149,16,17
80260,16,17
80371,16,17
80482,16,17
80593,16,17
80704,16,17
80816,16,17
80926,16,17
81038,16,17
81148,16,17
81260,16,17
81371,16,17
81482,16,17
81593,16,17
81704,16,17
81816,16,17
81927,16,17
82038,16,17
82149,16,17
82260,16,17
82371,16,17
82483,16,17
82593,16,17
82705,16,17
82816,16,17
82927,16,17
83038,16,17
83149,16,17
83260,16,17
83372,16,17
83482,16,17
83594,16,17
83705,16,17
83816,16,17
83928,16,17
84038,16,17
84150,16,17
84260,16,17
84372,16,17
84483,16,17
84594,16,17
84706,16,17
84816,16,17
84928,16,17
85039,16,17
85150,16,17
85261,16,17
85372,16,17
85483,16,17
85595,16,17
85705,16,17
85817,16,16
85927,16,16
86038,16,16
86150,16,15
86260,16,15
86371,16,15
86481,16,12
86592,16,10
86702,16,9
86812,16,9
86922,16,9
87031,16,9
87141,16,10
87251,16,11
87361,16,11
87472,16,13
87582,16,14
87693,16,14
87804,16,15
87915,16,15
88026,16,16
88137,16,16
88248,16,16
88358,16,16
88470,16,16
88581,16,16
88691,16,16
88802,16,16
88913,16,16
89024,16,16
89135,16,16
89246,16,16
89357,16,16
89467,16,16
89579,16,16
89690,16,16
89800,16,16
89911,16,16
